VoteKit RankProfile
Candidates
(H2:H2),(O2:O2),(H1:H1),(O4:O4),(O1:O1),(O7:O7),(O3:O3),(O6:O6),(O5:O5),(O8:O8)
Max Ranking Length
10
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,Ranking_7,Ranking_8,Ranking_9,Ranking_10,&,Weight,&
{'H1'},{'H2'},{'O3'},,,,,,,,&,3.0,&
{'H1'},{'H2'},{'O3'},{'O5'},,,,,,,&,2.0,&
{'H1'},{'H2'},{'O3'},{'O5'},{'O7'},{'O8'},{'O6'},{'O1'},{'O4'},{'O2'},&,1.0,&
{'H1'},{'H2'},{'O3'},{'O5'},{'O6'},{'O1'},,,,,&,1.0,&
{'H1'},{'H2'},{'O3'},{'O1'},,,,,,,&,1.0,&
{'H1'},{'H2'},{'O3'},{'O4'},,,,,,,&,1.0,&
{'H1'},{'H2'},{'O5'},,,,,,,,&,2.0,&
{'H1'},{'H2'},{'O5'},{'O7'},{'O3'},{'O1'},,,,,&,1.0,&
{'H1'},{'H2'},{'O5'},{'O8'},{'O3'},{'O4'},,,,,&,1.0,&
{'H1'},{'H2'},{'O5'},{'O8'},{'O3'},{'O7'},{'O2'},,,,&,1.0,&
{'H1'},{'H2'},{'O5'},{'O3'},,,,,,,&,1.0,&
{'H1'},{'H2'},{'O5'},{'O3'},{'O7'},,,,,,&,1.0,&
{'H1'},{'H2'},{'O5'},{'O3'},{'O7'},{'O1'},{'O4'},{'O8'},{'O6'},{'O2'},&,1.0,&
{'H1'},{'H2'},{'O5'},{'O6'},{'O3'},{'O1'},{'O7'},,,,&,1.0,&
{'H1'},{'H2'},,,,,,,,,&,7.0,&
{'H1'},{'H2'},{'O6'},{'O7'},{'O3'},,,,,,&,1.0,&
{'H1'},{'H2'},{'O7'},{'O5'},{'O8'},{'O3'},{'O1'},{'O6'},{'O2'},{'O4'},&,1.0,&
{'H1'},{'H2'},{'O7'},{'O8'},,,,,,,&,1.0,&
{'H1'},{'H2'},{'O7'},{'O3'},,,,,,,&,1.0,&
{'H1'},{'H2'},{'O7'},{'O3'},{'O5'},{'O4'},{'O8'},,,,&,1.0,&
{'H1'},{'H2'},{'O7'},{'O6'},{'O8'},,,,,,&,1.0,&
{'H1'},{'H2'},{'O1'},,,,,,,,&,1.0,&
